A00.0	A00.9
A00.0	A00
A00.1	A00.0
A00.9	A00
A01.00	R50.9
A01.01	G03.9
A02.20	A02.9
A02.21	G03.9
A04.4	A08.8
A04.71	A04.72
A04.8	A08.8
A04.8	A49.8
A04.9	A49.9
A06.4	K75.0
A06.4	K76.9
A06.82	A06.89
A08.4	B34.9
A09	B99.8
A09	B99.9
A15.6	R09.1
A15.7	A15.8
A15.7	A15.9
A15.7	J98.9
A15.8	J98.9
A15.9	J98.9
A17.0	G03.9
A18.02	M13.80
A18.02	M13.88
A18.11	N28.9
A18.12	N32.9
A18.14	N42.9
A18.17	N73.9
A18.4	L98.9
A18.84	I51.9
A21.3	A21.9
A23.1	A23.8
A23.1	A23.9
A25.9	R50.9
A27.0	A27.9
A30.2	A30.1
A30.2	A30.3
A30.4	A30.3
A30.5	A30.4
A31.0	A31.9
A31.0	J18.9
A36.0	A36.9
A37.00	A37.01
A37.00	R05
A37.01	R05
A37.10	R05
A37.80	A37.90
A37.80	A37.91
A37.81	A37.90
A37.81	A37.91
A37.91	A37.90
A37.90	R05
A37.91	R05
A38.8	R50.9
A38.9	R50.9
A39.0	G03.9
A40.0	A41.89
A40.0	A41
A40.1	A40.0
A40.1	A41.89
A40.1	A41
A40.3	A41.89
A40.3	A41
A40.8	A41.89
A40.8	A41
A40.8	A40.9
A40.9	A41.89
A40.9	A41
A41.01	A41.0
A41.01	A41.89
A41.01	A41
A41.02	A41.0
A41.02	A41.2
A41.02	A41.89
A41.02	A41
A41.0	A41.2
A41.0	A41.89
A41.0	A41
A41.01	A41.1
A41.02	A41.1
A41.0	A41.1
A41.1	A41.89
A41.1	A41
A41.01	A41.2
A41.1	A41.2
A41.2	A41.89
A41.2	A41
A41.3	A41.89
A41.3	A41
A41.4	A41.89
A41.4	A41
A41.59	A41.50
A41.50	A41.89
A41.50	A41
A41.51	A41.89
A41.51	A41
A41.52	A41.89
A41.52	A41
A41.53	A41.89
A41.53	A41
A41.59	A41.89
A41.59	A41
A41.5	A41.50
A41.5	A41.59
A41.5	A41.89
A41.5	A41
A41.81	A41.89
A41.81	A41
A41.89	A41
A41.02	A41.9
A41.9	A41.89
A41.9	A41
A42.0	A42.9
A42.2	A42.9
A42.7	A41.89
A42.7	A41
A43.0	A43.9
A43.8	A43.9
L97.513	A48.0
A48.2	A48.1
A48.3	R57.8
A48.3	R57.9
A48.4	R50.9
A41.01	A49.01
A41.01	A49.02
A41.02	A49.02
A41.89	A49.02
A49.02	B96.89
B96.29	A49.8
A41.01	A49.9
A41.52	A49.9
A41.53	A49.9
B96.20	A49.9
B96.89	A49.9
A50.02	M93.90
A50.2	A50.9
A50.2	A51.9
A50.2	A53.9
A50.40	A52.3
A50.49	A52.3
A50.7	A50.9
A51.0	A53.9
A51.39	A53.9
A51.9	A53.9
A52.00	A53.9
A52.01	I72.9
A52.05	A53.9
A52.05	I67.89
A52.05	I67.9
A52.09	A53.9
A52.10	A52.3
A52.16	M12.9
A52.79	A52.73
A52.74	A53.9
A52.74	K76.9
A52.75	A53.9
A52.75	N28.9
A52.79	A52.76
A52.78	A53.9
A52.79	A53.9
A52.8	A53.9
A53.0	A51.9
A53.0	A52.8
A53.0	A53.9
A54.00	A54.9
A54.01	N30.8
A54.01	N34.2
A54.1	A54.00
A54.23	A54.9
A54.23	N50.9
A54.24	N73.9
A54.29	A54.89
A54.30	A54.9
A54.40	A54.9
A54.42	M13.80
A54.42	M13.88
A56.00	A56.19
A56.00	A56.2
A56.00	A74.9
A56.01	N30.8
A56.01	N34.2
A56.09	A56.19
A56.09	A74.9
A56.11	N73.9
A56.19	A74.9
A56.8	A64
A56.8	A74.9
A59.00	A59.9
A59.03	N30.8
A59.03	N34.2
A59.09	A59.9
A59.8	A59.9
A60.00	B00.89
A60.00	B00.9
A60.01	B00.89
A60.01	B00.9
A60.01	N48.9
A60.02	B00.89
A60.02	B00.9
A60.02	N50.9
A60.09	B00.89
A60.09	B00.9
A60.1	B00.89
A60.1	B00.9
A60.9	B00.89
A60.9	B00.9
A63.8	A64
A66.1	A66.9
A66.1	A66
A66.4	A66.9
A66.4	A66
A66.9	A66
A68.1	A68.9
A68.1	R50.9
A68.9	R50.9
A69.22	A69.20
A69.23	A69.20
A69.21	A69.20
A69.21	G03.9
A69.23	M13.80
A69.23	M13.88
A69.29	A69.20
A77.0	R50.9
A77.0	A77.9
A77.9	R50.9
A78	R50.9
A79.0	R50.9
A81.9	G96.9
A85.8	A86
A87.8	G03.9
A87.8	A87.9
A87.9	G03.9
A90	R50.9
A92.31	A92.30
A92.32	A92.39
A94	R50.9
A95.9	R50.9
B00.1	L30.8
B00.1	L30.9
B00.3	G03.9
B00.50	B00.5
B00.51	H20.9
B00.52	H16.8
B00.52	H16.9
B00.82	G04.89
B00.82	G04.91
B00.89	B00.9
B01.9	T81.9
B02.0	B02
B02.22	G50.0
B02.30	B02.9
B02.30	B02
B02.31	B02
B02.31	H10.89
B02.31	H10.9
B02.39	B02
B02.7	B02
B02.8	B02
B02.9	B02
B05.9	T81.9
B06.00	B06.9
B06.89	B06.09
B06.9	T81.9
B08.8	B34.8
B09	B34.9
B15.0	R40.20
B15.9	B15.0
B15.9	R40.20
B16.2	B15.0
B16.2	B15.9
B16.2	R40.20
B16.9	B15.0
B16.9	B15.9
B16.9	B16.2
B16.9	R40.20
B17.10	B15.0
B17.10	B15.9
B17.10	R40.20
B18.1	B18.8
B18.1	B18.9
B18.1	K73.9
B18.2	B18.8
B18.2	B18.9
B18.2	K73.9
B18.8	K73.9
B18.9	K73.9
B19.0	B15.0
B19.21	B19.0
B19.0	R40.20
B19.10	B15.0
B19.10	B15.9
B18.1	B19.10
B19.10	B19.0
B19.10	B19.11
B19.10	B19.9
B19.10	R40.20
B19.11	B15.0
B19.11	B19.0
B19.11	B19.9
B19.11	R40.20
B19.20	B15.0
B19.20	B15.9
B18.1	B19.20
B18.2	B19.20
B19.20	B19.0
B19.20	B19.9
B19.20	R40.20
B19.21	B15.0
B18.2	B19.21
B19.21	B19.20
B19.21	B19.9
B19.21	R40.20
B19.9	B15.0
B19.9	B15.9
B19.9	B19.0
B19.9	R40.20
B20	D84.9
B25.0	B25.9
B25.1	B25.9
B25.2	B25.9
B25.8	B25.9
B26.9	T81.9
B27.00	T81.9
B27.10	B25.9
B27.80	B27.90
B27.80	B27.99
B27.80	B99.8
B27.80	B99.9
B27.80	T81.9
B27.89	B27.81
B27.81	B27.90
B27.81	B27.91
B27.81	B27.99
B27.89	B27.82
B27.82	B27.90
B27.82	B27.92
B27.82	B27.99
B27.89	B27.90
B27.90	B99.8
B27.90	B99.9
B27.90	T81.9
B27.91	B27.90
B27.92	B27.90
B27.92	B99.8
B27.92	B99.9
B27.92	G03.9
B27.99	B27.90
B27.99	B99.8
B27.99	B99.9
B27.99	T81.9
B30.3	H10.2
B30.3	H10.89
B30.3	H10.9
B30.8	B30
B30.8	H10.89
B30.8	H10.9
B30.8	B30.9
B30.9	B30
B30.9	H10.89
B30.9	H10.9
B30	H10.89
B30	H10.9
B33.0	M79.1
B33.24	I42.9
B33	B33.8
J11.1	B34.9
J11.2	B34.9
J40	B34.9
B36.8	B48.8
B36.9	B49
B37.1	B37.9
B37.2	B37.9
B37.2	L60.9
B37.41	N30.8
B37.41	N34.2
B37.42	N48.1
B37.49	B37.9
B37.5	G03.9
B37.7	A41.89
B37.7	A41
B37.81	K20.8
B37.81	K20.9
B37.3	B37.9
B37.89	B37.9
B38.0	B38.2
B38.0	B38.9
B38.2	B38.9
B38.81	B38.9
B39.2	B39.4
B39.2	B39.9
B39.3	B39.4
B39.3	B39.9
B39.4	B39.9
B40.2	B40.9
B40.9	B40
B42.9	B42
B44.1	B44.9
B44.1	B44
B44.2	B44.9
B44.2	B44
B44.81	B44.9
B44.81	B44
B44.89	B44.9
B44.89	B44
B44.9	B44
B45.0	B45.9
B45.1	B45.9
B50.0	B50.9
B50.0	B50
B50.0	B54
B50.8	B50.9
B50.8	B50
B50.8	B54
B50.9	B50
B50.9	B54
B50	B54
B51.9	B51
B51.9	B54
B51.9	T81.9
B51	B54
B58.89	B58.9
B65.2	B65.9
B69.0	B69.9
B69.0	G96.9
B70	B70.0
B73.02	H40.89
B73.02	H40.8
B73.02	H40.9
B82.0	B83.9
B85.1	B85.2
B85.0	B85.2
B85.4	B85.3
B88.8	B88.2
B90.9	A15.8
B90.9	A15.9
B90.9	J98.9
B95.0	B95.4
B95.0	B95.5
B95.1	B95.0
B95.1	B95.4
B95.1	B95.5
B95.3	B95.4
B95.3	B95.5
B95.4	B95.5
A41.02	B95.5
A41.01	B95.61
B95.61	A49.01
B95.61	B95.7
B95.61	B95.8
B95.62	A49.02
B95.62	B95.6
B95.62	B95.7
B95.62	B95.8
B95.61	B95.6
B95.6	B95.7
B95.6	B95.8
B96.21	B96.20
B96.21	B96.29
B96.22	B96.29
B96.23	B96.20
B96.20	B96.2
B96.89	A48.8
B97.4	J98.9
B97.89	B33.8
B99	B99.8
B99	B99.9
C00.2	C00.9
C00.4	C00.9
C00.4	C80.1
C00.5	C00.9
C00.6	C00.9
C00.9	C80.1
C01	C02.9
C01	C80.1
C01	K14.9
C02.0	C02.9
C02.0	C80.1
C02.0	K14.9
C02.3	C02.9
C02.4	C09.9
C02.4	C80.1
C02.9	C80.1
C02.9	K14.9
C04.0	C06.9
C04.0	C80.1
C05.2	C80.1
C05.9	C80.1
C06.0	C80.1
C06.80	C06.9
C06.9	C80.1
C07	C80.1
C08.0	C80.1
C08.9	C80.1
C08.9	K11.9
C09.8	C09.9
C09.8	C80.1
C09.9	C80.1
C09.9	R51
C09.9	R53.1
C10.0	C80.1
C10.4	C80.1
C10.9	C80.1
C11.0	C11.9
C11.0	C80.1
C11.9	C80.1
C12	C80.1
C13.9	C80.1
C14.0	C80.1
C15.3	C15.9
C15.3	C80.1
C15.3	K22.9
C15.4	C80.1
C15.4	K22.9
C15.5	C80.1
C15.5	K22.9
C15.8	C15.9
C15.8	C80.1
C15.8	K22.9
C15.4	C15.9
C15.5	C15.9
C15.9	C80.1
C15.9	K22.9
C16.0	C80.1
C16.1	C16
C16.1	C80.1
C16.2	C16
C16.2	C80.1
C16.3	C80.1
C16.4	C80.1
C16.5	C16.9
C16.5	C16
C16.5	C80.1
C16.6	C16.9
C16.6	C16
C16.6	C80.1
C16.8	C16.9
C16.8	C16
C16.8	C80.1
C16.1	C16.9
C16.2	C16.9
C16.9	C80.1
C16.9	D49.0
C16.9	C16
C16	C80.1
C17.0	C80.1
C17.1	C80.1
C17.2	C80.1
C17.9	C80.1
C17.9	K63.9
C18.0	C80.1
C18.1	C80.1
C18.1	K38.9
C18.2	C80.1
C18.3	C80.1
C18.4	C80.1
C18.5	C80.1
C18.6	C18.9
C18.6	C80.1
C18.7	C80.1
C18.8	C80.1
C18.2	C18.9
C18.4	C18.9
C18.7	C18.9
C18.8	C18.9
C18.9	C80.1
C19	C80.1
C20	C80.1
C21.0	C80.1
C21.1	C80.1
C21.2	C80.1
C21.8	C20
C21.8	C21.0
C21.8	C21.1
C21.8	C80.1
C21.8	K62.9
C22.3	K76.9
C22.7	K76.9
C22.8	C80.1
C22.9	C79.9
C22.9	C80.1
C23	C80.1
C23	K82.9
C24.0	C80.1
C24.1	C80.1
C24.9	C80.1
C24.9	K83.9
C25.0	C80.1
C25.0	K86.9
C25.1	C25.9
C25.1	C80.1
C25.1	K86.9
C25.2	C25.9
C25.2	C80.1
C25.2	K86.9
C25.3	C80.1
C25.4	C80.1
C25.4	E34.9
C25.4	K86.9
C25.7	C80.1
C25.7	K86.9
C25.0	C25.9
C25.4	C25.9
C25.7	C25.9
C25.9	C80.1
C25.9	K86.9
C26.0	C80.1
C26.1	C80.1
C26.1	D73.9
C26.9	C76.8
C26.9	C80.1
C26.9	K92.9
C30.0	C80.1
C30.1	C80.1
C30.1	H93.90
C31.0	C80.1
C31.1	C80.1
C31.2	C80.1
C31.3	C80.1
C32.0	C80.1
C32.1	C80.1
C32.2	C80.1
C32.9	C32
C32.9	C80.1
C32	C80.1
C33	C80.1
C34.00	C34.0
C34.00	C80.1
C34.01	C34.00
C34.01	C34.0
C34.01	C80.1
C34.02	C34.00
C34.02	C34.0
C34.02	C80.1
C34.0	C80.1
C34.11	C34.10
C34.10	C34.1
C34.10	C80.1
C34.11	C34.1
C34.12	C34.10
C34.12	C34.1
C34.12	C34.92
C34.1	C80.1
C34.2	C80.1
C34.30	C80.1
C34.31	C34.30
C34.31	C80.1
C34.32	C34.30
C34.32	C80.1
C34.80	C80.1
C34.81	C34.80
C34.81	C80.1
C34.82	C34.80
C34.82	C80.1
C34.91	C34.90
C34.92	C34.90
C34.91	C80.1
C34.32	C34.92
C34.92	C80.1
C37	C80.1
C37	E32.9
C38.1	C80.1
C38.2	C80.1
C38.3	C80.1
C38.4	C80.1
C38.8	C38.0
C38.8	C38.4
C40.20	C76.50
C40.20	C76.5
C40.20	C80.1
C40.21	C40.20
C40.21	C76.50
C40.21	C76.51
C40.21	C76.5
C40.21	C80.1
C41.0	C80.1
C41.3	C80.1
C41.4	C80.1
C41.9	C80.1
C41.9	M89.9
C41.9	M94.9
C43.111	C43.10
C43.112	C43.10
C43.121	C43.10
C43.122	C43.10
C43.20	H93.90
C43.52	C43.9
C43.52	N64.9
C43.59	C43.9
C43.61	C43.60
C43.62	C43.60
C43.72	C43.70
C43.71	C43.70
C44.00	C00.9
C44.00	C44.90
C44.00	C44.99
C44.00	C44.9
C44.00	C80.1
C44.01	C44.91
C44.02	C44.92
C44.09	C44.90
C44.09	C44.99
C44.101	C44.90
C44.1021	C44.101
C44.1021	C44.90
C44.1022	C44.101
C44.1022	C44.90
C44.1091	C44.101
C44.1091	C44.90
C44.1092	C44.101
C44.1092	C44.90
C44.111	C44.91
C44.111	H02.9
C44.1121	C44.111
C44.1121	C44.91
C44.1122	C44.111
C44.1122	C44.91
C44.1191	C44.111
C44.1191	C44.91
C44.1192	C44.111
C44.1192	C44.91
C44.121	C44.92
C44.1221	C44.121
C44.1221	C44.92
C44.1222	C44.121
C44.1222	C44.92
C44.122	C44.92
C44.122	H02.9
C44.1291	C44.121
C44.1291	C44.92
C44.1292	C44.121
C44.1292	C44.92
C44.1321	C44.131
C44.1322	C44.131
C44.1391	C44.131
C44.1392	C44.131
C44.191	C44.101
C44.191	C44.90
C44.191	C44.99
C44.1921	C44.101
C44.1921	C44.1021
C44.1921	C44.191
C44.1921	C44.90
C44.1921	C44.99
C44.1922	C44.101
C44.1922	C44.1022
C44.1922	C44.191
C44.1922	C44.90
C44.1922	C44.99
C44.1991	C44.101
C44.1991	C44.1091
C44.1991	C44.191
C44.1991	C44.90
C44.1991	C44.99
C44.1992	C44.101
C44.1992	C44.1092
C44.1992	C44.191
C44.1992	C44.90
C44.1992	C44.99
C44.201	C44.90
C44.201	C44.99
C44.201	C44.9
C44.201	C80.1
C44.201	H93.90
C44.202	C44.201
C44.202	C44.90
C44.202	C44.99
C44.202	C44.9
C44.202	C80.1
C44.202	H93.90
C44.202	H93.91
C44.209	C44.201
C44.209	C44.90
C44.209	C44.99
C44.209	C44.9
C44.209	C80.1
C44.209	H61.92
C44.209	H93.90
C44.209	H93.92
C44.211	C44.91
C44.212	C44.91
C44.219	C44.91
C44.219	H61.92
C44.219	H93.90
C44.219	H93.92
C44.221	C44.92
C44.222	C44.92
C44.222	H93.90
C44.222	H93.91
C44.229	C44.92
C44.229	H61.92
C44.229	H93.90
C44.229	H93.92
C44.291	C44.201
C44.291	C44.90
C44.291	C44.99
C44.292	C44.201
C44.292	C44.202
C44.292	C44.90
C44.292	C44.99
C44.299	C44.201
C44.299	C44.209
C44.299	C44.90
C44.299	C44.99
C44.300	C44.90
C44.301	C44.90
C44.301	C44.99
C44.301	C44.9
C44.301	C80.1
C44.309	C44.30
C44.309	C44.39
C44.309	C44.90
C44.309	C44.99
C44.309	C44.9
C44.309	C80.1
C44.30	C44.90
C44.30	C44.99
C44.30	C44.9
C44.30	C80.1
C44.310	C44.31
C44.310	C44.91
C44.311	C44.91
C44.319	C44.31
C44.319	C44.91
C44.31	C44.91
C44.320	C44.92
C44.321	C44.92
C44.329	C44.92
C44.390	C44.90
C44.390	C44.99
C44.391	C44.301
C44.391	C44.90
C44.391	C44.99
C44.399	C44.90
C44.399	C44.99
C44.39	C44.90
C44.39	C44.99
C44.39	C44.9
C44.39	C80.1
C44.40	C44.4
C44.40	C44.90
C44.40	C44.99
C44.40	C44.9
C44.40	C80.1
C44.41	C44.91
C44.42	C44.92
C44.42	R59.9
C44.49	C44.90
C44.49	C44.99
C44.4	C44.90
C44.4	C44.99
C44.4	C44.9
C44.4	C80.1
C44.500	C44.90
C44.500	C44.99
C44.500	C44.9
C44.500	C80.1
C44.501	C44.90
C44.501	C44.99
C44.501	C44.9
C44.501	C80.1
C44.501	N64.9
C44.509	C44.90
C44.509	C44.99
C44.509	C44.9
C44.509	C80.1
C44.510	C44.91
C44.511	C44.91
C44.519	C44.91
C44.520	C44.92
C44.521	C44.92
C44.521	N64.9
C44.529	C44.92
C44.590	C44.500
C44.590	C44.90
C44.590	C44.99
C44.591	C44.501
C44.591	C44.90
C44.591	C44.99
C44.599	C44.90
C44.599	C44.99
C44.599	C44.9
C44.599	C80.1
C44.601	C44.90
C44.601	C44.99
C44.601	C44.9
C44.601	C76.40
C44.601	C80.1
C44.602	C44.90
C44.609	C44.601
C44.609	C44.90
C44.609	C44.99
C44.609	C44.9
C44.609	C76.40
C44.609	C76.42
C44.609	C80.1
C44.611	C44.91
C44.612	C44.91
C44.619	C44.91
C44.621	C44.92
C44.622	C44.92
C44.629	C44.92
C44.691	C44.601
C44.691	C44.90
C44.691	C44.99
C44.692	C44.601
C44.692	C44.602
C44.692	C44.90
C44.692	C44.99
C44.699	C44.601
C44.699	C44.609
C44.699	C44.90
C44.699	C44.99
C44.701	C44.90
C44.701	C44.99
C44.701	C44.9
C44.701	C76.50
C44.701	C76.5
C44.701	C80.1
C44.702	C44.701
C44.702	C44.90
C44.702	C44.99
C44.702	C44.9
C44.702	C76.50
C44.702	C76.51
C44.702	C76.5
C44.702	C80.1
C44.709	C44.90
C44.711	C44.91
C44.712	C44.91
C44.719	C44.91
C44.721	C44.92
C44.722	C44.92
C44.729	C44.92
C44.791	C44.701
C44.791	C44.90
C44.791	C44.99
C44.792	C44.701
C44.792	C44.702
